"id","codigo","dane","colegio","departamento","ciudad","direccion","barrio","telefono","web","correo_i","cumpleaños","cod_zona","sub_zona","zona_madre","responsable","id_calendario","id_segmento","id_usuario","fecha_creacion"
"1","0",,"Oficina","1","Bogotá",,,,,,"0000-00-00",,"0",,,"1","0","0","2024-08-09 10:24:55"
"2","1",,"Trabajo en casa","1","Bogotá",,,,,,"0000-00-00",,"0",,,"1","0","0","2024-08-09 10:24:57"
"3","31176900321","311769003211","Colegio Santa Isabel De Hungria","1","Bogotá","Carrera 65 N° 165 - 10","Gilmar","6016715343","https://sih.edu.co",,"0000-00-00","36014796","0",,,"1","2","10","2024-08-09 10:23:28"
"5","31176900082","311769000823","Colegio Bilingue Hispanoamericano Conde Anzurez","1","Bogotá","Carrera 61 No. 173A - 80","San Jose De Bavaria","6013907170","https://hispanoamericano.edu.co/",,"0000-00-00","36014796","0",,,"1","2","10","2024-07-04 11:00:52"
"6","31100103436","311001034362","Colegio Santiago Mayor","1","Bogotá","Carrera 72 # 175 - 35","San Jose de Bavaria","6014672566","https://colegiosantiagomayor.edu.co/",,"0000-11-30","36014796","0",,,"1","1","10","2024-10-01 12:00:13"
"7","31176900041","311769000416","Colegio  Lausana","1","Bogotá","Calle  182  No.69 -  30","San Jose de Bavaria","6784641/ 6699416","https://www.colegiolausana.edu.co/",,"0000-00-00","36014796","0",,,"1","2","10","2024-10-01 12:00:13"
"8","31100104135","311001041351","Colegio Bilingue Inglaterra Real","1","Bogotá","Calle 183 N° 67 - 77","San Jose De Bavaria","6785800","https://www.colegioinglaterrareal.com/",,"1972-03-10","36014796","0",,,"1","2","10","2024-07-04 11:00:52"
"9","31100109360","311001093601","Liceo Matovelle","1","Bogotá","Carrera 65 N° 170 - 45","San Jose De Bavaria","6698301","www.liceomatovelle.com",,"1994-03-02","36014796","0",,,"1","2","10","2024-07-04 11:00:52"
"10","31100100402","311001004021","Liceo La Sabana","1","Bogotá","Carrera 65 N° 170 - 65","San Jose De Bavaria","8053788","www.liceolasabana.edu.co",,"0000-00-00","9149694","0",,,"1","1","10","2024-07-04 11:00:52"
"11","31176900073","311769000734","Colegio Stella Matutina","1","Bogotá","Carrera 67 #180-88","San José de bavaria ","6711332 -3108602226",,,"0000-00-00","36014796","0",,,"1","3","10","2024-07-04 11:00:52"
"13","31176900007","311769000076","Colegio Divino Salvador","1","Bogotá","KR 75 162 05","suba casablanca","3013867422","www.colegiodivinosalvador.edu.co/",,"2022-06-13","36014796","0",,,"1","3","10","2024-09-17 12:06:12"
"14","31184800063","311848000634","Colegio  Teresiano","1","Bogotá","Diagonal 152 N° 20-42","Cedritos","2580265 / 2742283",,,"0000-00-00","36014796","0",,,"1","3","10","2024-10-01 12:00:13"
"15","31176900048","311769000483","Colegio Emanuel Dalzon","1","Bogotá","Transversal 41 N° 112 - 05","Puente Largo","2532053",,,"0000-00-00","9149694","0",,,"1","3","10","2024-07-04 11:00:52"
"16","31100101004","311001010048","Colegio Alvernia","1","Bogotá","Transversal 77 No.162-55","Casa Blanca Suba","6921335","https://alverniabilingue.edu.co/",,"1940-03-18","36014796","0",,,"1","3","10","2024-10-01 12:00:13"
